,VIC,VIC,VIC,VIC,VIC,NSW,NSW,NSW,QLD,QLD,SA,TAS,ACT
,City power,Jemena,United Energy,Powercor,Ausnet,Endevour,Essential Energy,Ausgrid,Energex,Ergon,SA Power Networks,TasNetworks,EvoEnergy
Total OnceOff,980.815056,1016.285275,996.667549,1216.075289,1199.174985,1208.920209,1197.126859,1185.351918,1023.121679,1505.339996,1531.90401,1693.676363,1315.960019
Monthly Base / Once Off,81.734588,84.69043958,83.05562908,101.3396074,99.93124875,100.7433507,99.76057155,98.77932648,85.26013994,125.4449997,127.6586675,141.1396969,109.6633349
Once-Off High no.,123.4012547,126.3571063,124.7222958,143.0062741,141.5979154,142.4100174,141.4272382,140.4459931,126.9268066,167.1116663,169.3253342,182.8063635,151.3300016
Total Weekly,1162.815056,1198.285275,1178.667549,1398.075289,1381.174985,1390.920209,1379.126859,1367.351918,1205.121679,1687.339996,1713.90401,1875.676363,1497.960019
Weekly',96.90125467,99.85710625,98.22229575,116.5062741,115.0979154,115.9100174,114.9272382,113.9459931,100.4268066,140.6116663,142.8253342,156.3063635,124.8300016
Monthly - best competitor,108,110,114,135,129,120,122,117,107,178,150,195,138
VDO/Reference Price - Weekly,0.248827483,0.271116013,0.288244234,0.262618519,0.23776215,0.227266551,0.212827135,0.287837543,0.233383156,0.210046818,0.215245417,0.237529934,0.356546384
VDO/Reference Price - Once Off,0.366398543,0.381821609,0.398147615,0.35861008,0.338203651,0.328377662,0.316708414,0.38262921,0.349159237,0.295252811,0.29857875,0.311513674,0.434725078
